Env,Date,QV2M,T2MDEW,PS,RH2M,WS2M,GWETTOP,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M_MAX,T2M_MIN,T2MWET,GWETROOT,T2M,GWETPROF,ALLSKY_SFC_SW_DNI,PRECTOTCORR
INH1_2020,20200527,14.59,19.74,98.8,85.12,2.08,0.8,18.43,101.39,27.07,18.49,21.14,0.79,22.54,0.79,11.5,0.76
INH1_2020,20200528,13.79,18.79,98.62,84.5,2.57,0.82,17.03,94.2,25.89,18.12,20.26,0.8,21.75,0.79,11.91,10.9
INH1_2020,20200529,10.93,15.07,98.84,78.81,2.7,0.8,21.64,116.16,24.5,13.0,17.18,0.8,19.29,0.79,19.49,1.6
INH1_2020,20200530,8.61,11.66,99.48,75.38,2.65,0.79,27.21,142.88,22.19,10.49,14.08,0.79,16.49,0.78,26.33,0.0
INH1_2020,20200531,6.71,7.95,99.94,66.94,2.4,0.79,31.69,162.02,21.13,8.87,11.31,0.77,14.68,0.77,42.19,0.0
INH1_2020,20200601,7.69,9.8,99.66,67.62,2.72,0.78,20.4,108.77,20.98,8.31,12.95,0.77,16.11,0.77,14.18,0.01
INH1_2020,20200602,13.12,17.63,98.83,74.62,4.5,0.77,28.91,154.8,29.56,14.43,20.11,0.77,22.58,0.77,32.65,0.0
INH1_2020,20200603,16.42,21.48,98.37,87.19,2.8,0.79,18.2,102.03,27.49,19.27,22.65,0.76,23.84,0.76,6.81,9.8
INH1_2020,20200604,14.95,19.99,98.29,84.38,0.83,0.8,20.01,111.12,26.16,19.77,21.45,0.77,22.9,0.77,8.46,3.33
INH1_2020,20200605,15.5,20.63,98.57,81.81,2.12,0.78,24.89,133.29,29.34,17.48,22.4,0.77,24.16,0.77,17.22,0.0
INH1_2020,20200606,11.17,15.36,99.02,70.38,2.78,0.77,28.64,152.65,28.12,14.87,18.48,0.76,21.62,0.76,33.18,0.0
INH1_2020,20200607,10.25,14.26,99.09,70.69,2.57,0.76,27.01,142.45,27.14,13.9,17.32,0.74,20.38,0.75,29.46,0.0
INH1_2020,20200608,11.17,15.46,98.79,68.44,3.2,0.75,27.96,147.02,29.27,14.71,18.82,0.73,22.18,0.73,24.85,0.0
INH1_2020,20200609,16.72,21.59,97.88,84.25,6.24,0.75,18.23,102.9,28.9,19.05,23.04,0.73,24.49,0.73,8.61,4.0
INH1_2020,20200610,14.53,19.04,97.84,78.88,6.41,0.74,20.76,112.62,28.98,14.71,21.08,0.73,23.13,0.73,14.05,1.77
INH1_2020,20200611,10.01,13.83,99.33,71.0,3.09,0.73,29.58,154.1,25.82,12.95,16.86,0.72,19.88,0.72,34.19,0.01
INH1_2020,20200612,9.89,13.75,99.68,66.38,1.84,0.73,29.91,155.45,28.26,14.19,17.59,0.71,21.44,0.71,36.02,0.07
INH1_2020,20200613,9.16,12.56,99.7,74.38,3.32,0.72,24.15,128.72,23.18,12.37,15.04,0.7,17.51,0.7,19.34,0.5
INH1_2020,20200614,6.96,8.54,99.92,63.69,3.28,0.71,31.81,163.39,22.52,9.33,12.3,0.7,16.06,0.7,42.56,0.09
INH1_2020,20200615,8.61,11.4,99.98,70.0,2.23,0.7,28.51,148.73,24.84,8.12,14.5,0.69,17.59,0.69,29.86,0.0
INH1_2020,20200616,11.23,15.78,99.83,73.62,1.88,0.7,28.22,147.37,27.5,13.87,18.49,0.67,21.2,0.68,31.14,0.0
INH1_2020,20200617,11.35,15.84,99.43,69.5,1.66,0.69,27.2,141.18,28.09,15.58,19.09,0.66,22.34,0.67,23.65,0.0
INH1_2020,20200618,11.66,16.21,99.05,68.38,1.45,0.68,27.92,148.58,28.7,16.26,19.58,0.66,22.94,0.66,28.47,0.0
INH1_2020,20200619,12.39,17.12,98.98,63.5,1.12,0.67,25.72,137.24,31.05,18.85,21.11,0.65,25.09,0.66,27.11,0.0
INH1_2020,20200620,14.95,20.08,98.81,74.44,2.43,0.66,26.23,138.16,30.78,19.65,22.72,0.64,25.36,0.65,23.76,1.39
INH1_2020,20200621,14.34,19.37,98.66,82.56,1.95,0.66,10.96,63.52,25.76,18.41,21.01,0.64,22.65,0.65,4.02,1.76
INH1_2020,20200622,15.26,20.28,98.43,89.12,2.74,0.7,24.0,128.19,26.69,17.26,21.26,0.65,22.24,0.65,17.59,13.52
INH1_2020,20200623,11.66,15.99,98.21,77.75,3.29,0.7,23.05,123.47,24.28,16.41,18.19,0.66,20.4,0.66,17.59,3.35
INH1_2020,20200624,10.8,14.94,98.56,74.44,1.81,0.67,27.52,144.46,24.96,13.94,17.48,0.65,20.03,0.65,28.4,0.66
INH1_2020,20200625,11.11,15.45,98.88,70.31,1.86,0.66,27.24,144.05,27.3,14.57,18.5,0.64,21.55,0.64,31.0,0.22
INH1_2020,20200626,15.08,20.03,98.83,82.56,3.16,0.69,20.19,110.29,28.04,17.28,21.63,0.64,23.23,0.64,12.46,11.62
INH1_2020,20200627,17.52,22.62,98.39,92.62,3.11,0.76,11.5,66.04,27.22,21.8,23.26,0.67,23.9,0.66,4.3,26.58
INH1_2020,20200628,16.3,21.41,98.36,84.12,1.52,0.72,21.51,118.88,28.68,20.95,22.94,0.69,24.47,0.67,11.95,2.06
INH1_2020,20200629,17.4,22.48,98.7,86.75,1.41,0.71,21.36,117.92,29.36,20.92,23.7,0.68,24.92,0.67,12.65,5.16
INH1_2020,20200630,16.54,21.7,98.64,82.19,1.3,0.71,23.41,126.83,29.32,20.62,23.44,0.68,25.17,0.67,11.33,3.32
INH1_2020,20200701,15.56,20.72,98.65,75.5,1.51,0.69,28.56,152.3,30.53,21.14,23.19,0.66,25.66,0.66,31.65,0.02
INH1_2020,20200702,13.61,18.61,98.94,67.94,1.98,0.67,29.63,156.74,30.36,19.05,22.01,0.65,25.43,0.66,36.96,0.0
INH1_2020,20200703,14.1,19.14,99.01,70.81,1.71,0.66,26.36,140.75,30.55,18.87,22.13,0.64,25.12,0.65,25.32,0.0
INH1_2020,20200704,14.34,19.33,98.91,69.94,1.5,0.65,24.79,133.28,31.57,18.91,22.48,0.63,25.61,0.64,19.54,0.29
INH1_2020,20200705,16.36,21.57,98.83,74.12,1.01,0.64,27.82,148.78,31.58,21.08,24.23,0.62,26.9,0.63,29.65,0.23
INH1_2020,20200706,15.5,20.68,98.91,66.38,0.61,0.63,25.4,136.98,32.3,23.43,24.24,0.61,27.8,0.62,24.87,0.72
INH1_2020,20200707,16.42,21.63,98.86,73.38,0.84,0.62,26.12,140.51,31.89,21.59,24.42,0.6,27.22,0.62,25.74,0.75
INH1_2020,20200708,17.4,22.55,98.75,78.0,1.0,0.63,22.37,122.82,31.05,23.34,24.7,0.6,26.86,0.61,18.23,3.52
INH1_2020,20200709,17.82,22.91,98.57,80.62,1.76,0.62,26.25,143.14,30.73,22.44,24.8,0.6,26.69,0.61,26.49,2.58
INH1_2020,20200710,15.5,20.59,98.37,80.0,4.24,0.63,19.3,105.37,28.09,20.97,22.52,0.6,24.45,0.61,16.73,5.12
INH1_2020,20200711,14.83,19.88,98.57,78.88,2.45,0.63,23.0,125.73,28.77,18.33,22.01,0.6,24.14,0.6,23.95,9.93
INH1_2020,20200712,14.04,18.94,98.45,80.0,1.79,0.66,24.91,133.5,27.46,16.11,20.87,0.62,22.81,0.61,23.95,6.42
INH1_2020,20200713,10.99,15.23,98.9,71.38,1.94,0.62,29.35,154.89,27.24,14.62,18.2,0.6,21.16,0.61,36.2,0.01
INH1_2020,20200714,10.93,15.14,99.09,64.19,1.4,0.6,27.15,142.91,28.42,14.94,18.92,0.59,22.7,0.6,22.93,0.0
INH1_2020,20200715,14.1,19.0,98.91,73.5,2.56,0.61,23.78,125.13,29.58,17.64,21.71,0.59,24.41,0.59,13.5,9.29
INH1_2020,20200716,16.05,21.25,98.93,83.38,2.47,0.63,14.97,84.69,27.99,20.49,22.83,0.6,24.4,0.6,6.92,3.04
INH1_2020,20200717,14.1,19.25,99.38,74.56,1.11,0.59,29.35,155.34,29.87,18.87,21.91,0.59,24.58,0.59,37.43,0.0
INH1_2020,20200718,18.13,23.22,99.0,83.25,3.12,0.59,24.51,133.22,30.76,21.55,24.82,0.58,26.42,0.59,20.67,0.02
INH1_2020,20200719,18.37,23.4,98.68,86.56,3.94,0.62,9.67,56.74,29.6,21.4,24.65,0.58,25.91,0.59,5.61,8.74
INH1_2020,20200720,13.85,18.87,98.93,73.38,1.28,0.6,18.31,101.48,29.68,18.87,21.64,0.59,24.4,0.59,9.92,1.76
INH1_2020,20200721,16.3,21.37,98.98,87.75,1.45,0.66,16.58,92.72,26.4,20.39,22.47,0.59,23.55,0.59,8.76,21.16
INH1_2020,20200722,17.7,22.82,98.85,87.69,2.61,0.66,16.49,93.1,28.67,22.15,23.97,0.62,25.11,0.61,9.88,4.26
INH1_2020,20200723,14.34,19.47,99.17,78.0,1.66,0.62,26.69,140.88,28.5,18.57,21.67,0.6,23.87,0.6,28.72,0.21
INH1_2020,20200724,13.49,18.58,99.36,74.62,1.07,0.6,26.23,138.23,29.08,16.57,21.12,0.59,23.68,0.59,29.01,0.0
INH1_2020,20200725,14.1,19.23,99.3,73.12,0.88,0.59,26.92,142.77,30.87,18.61,22.05,0.59,24.87,0.59,30.72,0.0
INH1_2020,20200726,16.6,21.66,99.08,76.25,2.59,0.57,26.25,140.76,32.45,19.13,24.06,0.57,26.45,0.58,29.0,0.13
INH1_2020,20200727,17.7,22.78,98.72,88.38,2.84,0.62,13.78,77.49,28.85,19.94,23.84,0.58,24.9,0.58,9.82,13.75
INH1_2020,20200728,12.76,17.55,98.84,71.31,1.41,0.59,28.71,151.19,29.33,17.05,20.6,0.59,23.65,0.59,37.88,0.02
INH1_2020,20200729,13.0,17.78,98.76,69.19,2.02,0.57,27.64,147.73,29.97,17.8,20.97,0.57,24.16,0.58,31.61,0.0
INH1_2020,20200730,14.1,19.12,98.55,85.94,1.84,0.61,7.33,44.59,23.49,19.55,20.35,0.58,21.58,0.58,2.57,8.12
INH1_2020,20200731,12.15,16.77,98.57,73.0,2.21,0.58,22.04,119.4,27.85,18.14,19.57,0.58,22.37,0.58,13.32,0.25
INH1_2020,20200801,13.37,18.26,98.37,88.5,3.05,0.65,7.54,45.75,23.19,18.01,19.26,0.59,20.26,0.59,2.85,21.1
INH1_2020,20200802,13.24,18.13,98.55,81.75,2.69,0.64,21.33,114.04,26.99,17.62,19.91,0.61,21.7,0.59,17.6,4.01
INH1_2020,20200803,12.51,17.25,98.86,81.94,2.06,0.62,19.5,106.01,25.76,16.02,18.98,0.59,20.69,0.59,12.54,1.17
INH1_2020,20200804,10.07,13.92,99.03,76.62,2.7,0.6,21.99,116.5,23.18,12.86,16.2,0.59,18.48,0.59,20.21,0.08
INH1_2020,20200805,8.42,11.24,99.34,63.12,0.79,0.59,22.77,118.2,23.99,12.63,15.01,0.58,18.76,0.59,21.19,0.0
INH1_2020,20200806,8.79,11.9,99.32,58.25,1.06,0.57,23.96,125.8,26.15,13.93,16.35,0.57,20.8,0.58,25.63,0.0
INH1_2020,20200807,9.09,12.46,99.45,57.62,0.9,0.56,26.32,137.48,27.44,15.77,17.05,0.56,21.65,0.57,31.0,0.0
INH1_2020,20200808,11.72,16.13,99.43,69.38,1.9,0.55,26.29,140.62,28.9,15.46,19.34,0.55,22.55,0.56,32.03,0.0
INH1_2020,20200809,14.28,19.44,99.18,75.31,2.69,0.54,23.05,124.25,30.78,18.74,22.03,0.55,24.62,0.56,21.79,0.89
INH1_2020,20200810,17.94,22.99,98.78,89.25,2.81,0.62,20.9,114.41,30.55,20.87,24.0,0.57,25.01,0.57,17.99,17.97
INH1_2020,20200811,13.98,18.88,98.88,78.56,1.73,0.6,20.9,113.32,28.4,17.63,20.98,0.58,23.08,0.58,13.39,3.11
INH1_2020,20200812,12.02,16.62,99.18,72.19,1.68,0.57,24.15,126.66,28.74,16.33,19.44,0.57,22.26,0.57,24.41,0.0
INH1_2020,20200813,12.45,17.27,99.11,70.94,1.59,0.56,23.64,125.19,29.26,17.32,20.3,0.56,23.33,0.56,23.01,0.0
INH1_2020,20200814,12.33,16.99,98.83,64.62,1.3,0.55,24.0,126.48,30.24,18.04,20.85,0.55,24.71,0.56,23.67,0.0
INH1_2020,20200815,13.0,17.8,98.68,65.19,1.12,0.53,23.97,126.89,31.51,19.62,21.59,0.55,25.39,0.55,24.38,0.06
INH1_2020,20200816,12.02,16.53,98.89,68.81,2.73,0.52,25.04,132.26,29.36,18.89,20.02,0.55,23.51,0.55,31.09,0.07
INH1_2020,20200817,12.21,16.88,98.92,68.88,1.55,0.53,15.54,86.01,29.55,17.38,20.24,0.54,23.59,0.55,8.66,3.34
INH1_2020,20200818,10.13,13.88,98.93,66.69,2.79,0.54,24.34,130.02,27.26,15.3,17.47,0.55,21.05,0.55,29.29,2.98
INH1_2020,20200819,8.42,11.15,99.13,62.38,1.98,0.52,26.91,139.28,27.47,12.9,15.51,0.54,19.87,0.55,39.01,0.43
INH1_2020,20200820,8.73,11.7,98.98,58.88,1.27,0.51,26.2,137.55,28.76,13.34,16.35,0.53,21.0,0.54,37.46,0.0
INH1_2020,20200821,8.73,11.67,98.8,50.38,1.02,0.5,25.98,133.65,30.01,17.01,17.47,0.53,23.27,0.54,35.55,0.0
INH1_2020,20200822,9.09,12.19,98.82,52.88,1.05,0.49,25.04,132.1,31.01,16.08,17.88,0.52,23.58,0.53,33.47,0.0
INH1_2020,20200823,12.57,17.36,98.94,66.88,2.09,0.49,22.77,119.7,31.84,17.38,21.08,0.52,24.8,0.52,25.94,0.44
INH1_2020,20200824,14.1,19.16,98.98,67.62,2.39,0.48,22.8,120.61,34.34,20.05,22.91,0.52,26.66,0.52,25.07,0.4
INH1_2020,20200825,14.4,19.52,99.04,64.81,1.91,0.48,19.73,103.98,35.01,20.69,23.63,0.52,27.74,0.52,17.13,0.01
INH1_2020,20200826,15.08,20.23,98.93,69.19,2.83,0.48,20.1,102.54,33.57,21.42,23.72,0.51,27.19,0.52,18.41,0.0
INH1_2020,20200827,16.3,21.48,98.68,75.19,3.23,0.48,14.79,82.05,31.74,23.01,24.11,0.51,26.75,0.52,9.7,0.06
INH1_2020,20200828,16.97,22.05,98.26,81.88,2.34,0.52,16.5,90.45,29.45,22.4,23.81,0.51,25.57,0.52,12.36,6.83
INH1_2020,20200829,11.84,15.96,98.19,66.38,2.94,0.5,20.16,107.33,29.99,16.75,19.8,0.52,23.64,0.52,14.93,0.86
INH1_2020,20200830,9.16,12.44,98.57,63.25,1.61,0.48,21.01,110.82,26.62,14.33,16.44,0.51,20.43,0.52,19.37,0.08
INH1_2020,20200831,10.5,14.22,98.43,63.69,1.97,0.48,20.32,107.8,30.68,13.83,18.35,0.51,22.49,0.52,19.7,0.05
INH1_2020,20200901,15.62,20.76,98.54,86.38,2.04,0.51,11.67,65.2,27.56,19.05,22.03,0.51,23.3,0.51,4.35,5.71
INH1_2020,20200902,12.82,17.24,98.4,71.94,2.3,0.5,13.85,76.29,29.19,19.06,20.3,0.52,23.37,0.52,5.51,0.58
INH1_2020,20200903,10.31,14.0,98.4,59.25,3.2,0.48,22.24,116.83,30.98,15.94,18.61,0.51,23.21,0.52,27.84,0.05
INH1_2020,20200904,7.32,8.85,99.31,56.81,2.38,0.48,24.34,125.62,26.02,13.21,14.07,0.51,19.28,0.51,35.75,0.0
INH1_2020,20200905,7.75,9.94,99.62,53.44,3.4,0.47,23.0,120.82,30.43,13.15,15.47,0.5,21.0,0.51,32.42,0.19
INH1_2020,20200906,10.93,15.05,99.11,72.5,3.82,0.48,11.66,63.7,26.19,14.61,17.69,0.5,20.33,0.51,5.89,1.68
INH1_2020,20200907,14.59,19.58,98.43,81.81,2.75,0.55,6.24,35.27,28.67,19.28,21.36,0.52,23.14,0.52,3.36,16.46
INH1_2020,20200908,15.01,20.16,98.89,83.31,1.17,0.54,16.27,85.49,28.76,19.29,21.76,0.53,23.37,0.52,14.06,4.57
INH1_2020,20200909,12.82,17.71,99.47,73.25,1.48,0.52,16.21,83.29,31.15,17.59,20.69,0.53,23.66,0.52,13.03,0.79
INH1_2020,20200910,11.35,15.94,99.81,77.25,2.75,0.5,8.28,45.81,25.73,16.48,18.14,0.52,20.33,0.52,3.98,0.06
INH1_2020,20200911,11.41,15.94,99.62,74.06,2.89,0.49,14.24,77.31,26.82,16.74,18.51,0.52,21.07,0.52,12.02,0.06
INH1_2020,20200912,13.43,18.3,98.88,78.94,3.02,0.51,11.52,61.52,29.21,16.88,20.44,0.52,22.57,0.52,6.04,5.02
INH1_2020,20200913,10.56,14.62,99.14,73.31,1.85,0.51,17.61,91.38,27.01,14.4,17.47,0.52,20.3,0.52,17.62,0.98
INH1_2020,20200914,9.03,12.47,99.96,72.88,2.2,0.49,17.22,84.34,24.65,12.13,15.22,0.52,17.96,0.52,12.86,0.03
INH1_2020,20200915,7.02,8.56,99.68,59.38,1.77,0.49,17.75,83.88,26.29,10.98,13.26,0.52,17.94,0.52,18.38,0.0
INH1_2020,20200916,7.87,10.09,99.11,62.19,1.77,0.48,15.94,77.88,27.78,9.73,14.31,0.52,18.54,0.52,10.62,0.0
INH1_2020,20200917,9.89,13.37,99.11,74.5,2.88,0.48,12.74,66.96,22.72,12.15,15.76,0.51,18.13,0.52,7.53,0.0
INH1_2020,20200918,4.76,2.72,99.81,53.62,3.21,0.48,22.17,112.85,20.05,7.53,7.97,0.51,13.22,0.51,36.5,0.0
INH1_2020,20200919,4.94,3.51,100.05,59.25,2.04,0.48,21.03,106.14,20.76,5.42,8.05,0.51,12.58,0.51,32.72,0.0
INH1_2020,20200920,4.46,2.01,100.21,48.69,2.76,0.48,20.32,102.46,23.59,5.82,8.22,0.5,14.43,0.51,29.0,0.0
INH1_2020,20200921,5.68,5.43,100.05,54.94,2.12,0.48,19.99,98.7,25.62,6.48,10.51,0.5,15.59,0.51,27.38,0.0
INH1_2020,20200922,7.75,10.08,99.54,66.25,1.49,0.48,15.51,77.05,26.16,9.92,13.81,0.5,17.54,0.5,11.1,0.0
INH1_2020,20200923,7.63,9.75,99.17,64.69,2.05,0.48,13.23,67.39,24.85,10.87,13.57,0.5,17.38,0.5,7.22,0.0
INH1_2020,20200924,8.54,11.41,98.88,67.0,1.77,0.47,18.67,94.28,26.75,12.09,15.04,0.49,18.66,0.5,24.86,0.0
INH1_2020,20200925,8.73,11.69,98.83,64.0,1.5,0.47,18.19,93.68,27.24,12.88,15.64,0.49,19.6,0.5,24.52,0.0
INH1_2020,20200926,11.11,15.36,98.53,76.12,4.68,0.47,13.96,71.3,27.12,14.12,17.79,0.49,20.22,0.5,13.87,0.0
INH1_2020,20200927,12.08,16.61,98.14,76.94,3.79,0.48,11.57,60.84,28.87,16.56,19.01,0.49,21.4,0.49,8.14,1.84
INH1_2020,20200928,7.75,9.79,98.25,77.06,3.51,0.51,6.87,37.46,19.46,9.92,11.97,0.5,14.15,0.5,5.32,4.79
INH1_2020,20200929,6.1,6.43,98.49,69.81,2.47,0.48,15.01,77.37,18.51,7.52,9.51,0.5,12.61,0.5,18.24,0.08
INH1_2020,20200930,6.16,6.54,98.15,66.31,4.66,0.48,6.28,34.31,21.21,8.33,9.94,0.5,13.35,0.5,6.34,0.15
INH1_2020,20201001,5.74,5.64,98.98,74.62,3.02,0.48,13.89,71.34,16.06,6.33,8.11,0.5,10.58,0.5,14.38,0.78
INH1_2020,20201002,5.19,4.1,99.45,70.06,2.04,0.48,14.02,71.66,16.6,5.76,7.1,0.5,10.11,0.5,11.99,0.09
INH1_2020,20201003,5.43,4.72,99.49,70.94,1.75,0.48,10.96,57.16,17.36,4.59,7.55,0.49,10.4,0.5,6.21,1.68
INH1_2020,20201004,5.74,5.53,99.49,79.06,2.2,0.53,7.86,41.45,14.05,4.79,7.48,0.51,9.43,0.51,5.38,7.87
INH1_2020,20201005,4.64,2.6,99.57,63.56,1.84,0.49,18.88,94.42,18.04,4.18,6.48,0.51,10.35,0.51,33.51,0.01
INH1_2020,20201006,6.53,7.1,98.79,61.88,4.12,0.48,14.99,75.65,24.3,7.36,11.03,0.51,14.96,0.51,18.8,0.0
INH1_2020,20201007,7.63,9.65,98.72,65.19,3.35,0.48,16.12,83.75,27.44,11.43,13.66,0.5,17.69,0.5,25.03,0.0
INH1_2020,20201008,5.68,5.51,99.36,55.0,1.46,0.48,16.73,86.59,24.84,9.05,10.69,0.5,15.87,0.5,26.95,0.0
INH1_2020,20201009,8.42,10.88,98.94,62.5,3.97,0.47,14.92,76.03,28.26,10.12,14.87,0.5,18.85,0.5,18.32,0.0
INH1_2020,20201010,11.72,16.2,98.69,77.94,3.02,0.48,10.19,52.72,27.67,15.46,18.44,0.49,20.67,0.5,4.28,0.0
INH1_2020,20201011,11.17,15.46,98.63,78.06,2.99,0.48,13.79,69.74,27.15,14.9,17.67,0.49,19.89,0.5,16.53,0.19
INH1_2020,20201012,9.52,12.47,98.37,81.56,4.1,0.5,6.27,33.84,25.45,7.81,14.15,0.5,15.84,0.5,3.53,4.21
INH1_2020,20201013,4.7,2.41,99.13,55.12,2.8,0.48,17.25,87.05,22.15,6.29,7.92,0.5,13.43,0.5,32.5,0.0
INH1_2020,20201014,5.68,5.36,98.44,54.25,4.71,0.48,12.61,65.52,24.96,7.65,10.82,0.5,16.28,0.5,9.12,0.14
INH1_2020,20201015,4.76,2.38,98.83,57.38,3.71,0.48,5.92,32.26,15.8,3.3,6.56,0.49,10.73,0.5,2.43,1.02
INH1_2020,20201016,2.99,-3.26,99.58,53.5,2.83,0.48,15.52,76.3,14.67,0.29,1.86,0.49,6.98,0.49,26.5,0.02
INH1_2020,20201017,3.11,-2.81,99.46,46.31,4.27,0.48,10.33,52.78,15.73,1.2,3.3,0.49,9.4,0.49,9.1,0.0
INH1_2020,20201018,5.13,3.91,99.3,63.12,4.21,0.48,9.99,51.47,18.98,5.62,7.51,0.49,11.11,0.49,7.35,3.57
INH1_2020,20201019,5.55,5.22,99.52,80.38,3.3,0.52,5.61,30.5,14.12,4.9,6.94,0.5,8.66,0.5,2.89,4.35
INH1_2020,20201020,6.53,7.17,99.36,83.62,3.77,0.55,8.87,46.7,14.87,4.87,8.63,0.52,10.09,0.51,5.99,16.75
INH1_2020,20201021,7.81,10.05,99.41,82.19,2.07,0.62,8.85,46.12,17.8,9.65,11.73,0.56,13.4,0.54,5.41,18.15
INH1_2020,20201022,11.47,15.85,99.03,84.06,3.47,0.56,11.49,59.5,26.18,12.16,17.35,0.56,18.85,0.54,14.3,0.93
INH1_2020,20201023,9.46,11.71,98.93,83.06,5.33,0.56,6.06,32.46,22.6,5.81,13.17,0.55,14.63,0.55,4.84,4.18
INH1_2020,20201024,3.91,0.14,99.59,65.25,2.99,0.55,12.98,63.91,11.29,3.92,3.37,0.55,6.61,0.55,19.64,0.03
INH1_2020,20201025,4.27,1.53,99.32,68.06,3.23,0.54,5.11,26.88,11.81,3.21,4.42,0.55,7.31,0.55,2.43,0.06
INH1_2020,20201026,4.7,2.94,99.58,81.69,2.43,0.54,4.92,26.7,9.04,3.62,4.42,0.55,5.9,0.55,2.41,0.84
INH1_2020,20201027,4.82,3.19,99.69,85.94,1.28,0.55,3.27,17.91,8.48,3.19,4.3,0.55,5.4,0.55,2.32,1.65
INH1_2020,20201028,4.88,3.23,99.05,76.44,1.19,0.55,8.59,45.6,12.54,2.05,5.38,0.55,7.53,0.55,5.76,3.85
INH1_2020,20201029,4.94,3.37,98.4,77.25,4.27,0.59,8.49,43.84,11.75,3.33,5.34,0.56,7.33,0.55,7.8,5.21
INH1_2020,20201030,3.11,-2.77,99.73,70.5,2.68,0.55,13.22,65.39,8.95,-1.13,0.06,0.56,2.9,0.55,24.93,0.08
INH1_2020,20201031,4.33,1.45,99.56,74.44,3.88,0.55,13.65,68.36,14.95,-1.35,3.94,0.55,6.42,0.55,28.4,0.01
INH1_2020,20201101,2.81,-4.83,99.48,56.44,6.08,0.55,8.06,39.35,8.75,-3.62,-0.73,0.55,3.37,0.55,10.67,0.02
INH1_2020,20201102,2.14,-7.71,99.9,54.56,3.56,0.54,13.6,66.59,10.13,-5.45,-2.93,0.55,1.84,0.55,25.86,0.0
INH1_2020,20201103,4.76,2.83,99.42,72.12,3.56,0.54,12.85,64.45,18.96,-0.06,5.62,0.55,8.43,0.55,26.78,0.0
INH1_2020,20201104,7.02,8.58,99.51,76.19,4.62,0.54,12.99,65.1,21.87,7.0,10.95,0.55,13.33,0.55,26.47,0.0
INH1_2020,20201105,7.63,9.87,99.61,82.69,3.84,0.54,7.81,39.82,18.88,9.65,11.44,0.55,13.0,0.55,3.77,0.0
INH1_2020,20201106,7.14,8.92,99.65,77.62,2.92,0.53,12.33,61.29,22.52,7.55,11.04,0.55,13.15,0.55,24.78,0.0
INH1_2020,20201107,6.77,8.12,99.66,76.06,2.52,0.53,11.64,58.23,21.98,5.91,10.44,0.55,12.76,0.55,23.08,0.0
INH1_2020,20201108,8.97,12.01,99.68,75.44,3.12,0.53,10.02,52.3,24.77,10.4,14.3,0.55,16.58,0.55,16.51,0.0
INH1_2020,20201109,11.05,15.44,99.32,83.62,3.84,0.53,9.32,48.91,23.96,13.15,16.86,0.54,18.28,0.54,13.78,0.0
INH1_2020,20201110,11.96,16.26,98.49,84.31,6.26,0.55,6.94,36.59,23.41,9.03,17.69,0.54,19.11,0.54,7.53,4.89
INH1_2020,20201111,3.42,-1.59,99.13,62.81,2.98,0.55,7.01,35.38,8.89,1.59,1.76,0.55,5.09,0.55,7.72,0.12
INH1_2020,20201112,3.42,-1.6,99.32,69.25,1.88,0.54,12.18,59.76,11.62,-1.87,1.3,0.55,4.19,0.55,27.48,0.05
INH1_2020,20201113,2.99,-3.73,99.42,64.81,2.61,0.54,10.41,49.98,7.12,-2.63,-0.44,0.55,2.85,0.55,19.42,0.14
INH1_2020,20201114,4.09,-0.23,98.86,81.25,4.68,0.57,2.66,14.46,10.21,-4.06,1.29,0.55,2.81,0.55,1.4,8.06
INH1_2020,20201115,5.0,2.33,97.98,69.19,8.62,0.62,3.75,19.14,13.39,2.03,5.18,0.58,8.01,0.56,3.34,9.42
INH1_2020,20201116,3.11,-2.91,99.25,61.12,4.9,0.57,11.74,57.05,11.74,-2.25,0.94,0.57,4.77,0.56,27.88,0.02
INH1_2020,20201117,2.44,-5.89,100.34,62.19,3.78,0.56,11.85,56.88,5.68,-2.72,-2.49,0.57,0.92,0.56,28.31,0.02
INH1_2020,20201118,2.44,-5.92,100.37,52.38,3.98,0.56,11.0,53.91,10.19,-2.75,-1.29,0.56,3.33,0.56,23.39,0.0
INH1_2020,20201119,3.97,0.49,99.4,51.25,7.87,0.55,9.38,47.41,17.54,3.27,5.58,0.56,10.66,0.56,11.28,0.0
INH1_2020,20201120,6.23,6.77,99.84,67.56,4.2,0.55,9.75,49.45,19.52,7.86,9.78,0.55,12.79,0.55,17.87,0.59
INH1_2020,20201121,4.39,2.05,100.4,76.44,2.82,0.56,5.01,26.22,8.79,2.33,4.06,0.56,6.07,0.55,3.08,3.07
INH1_2020,20201122,3.97,0.5,99.59,89.31,3.62,0.63,3.0,16.22,5.01,-0.18,1.31,0.58,2.12,0.57,1.6,16.07
INH1_2020,20201123,3.6,-0.84,99.88,78.69,1.88,0.6,8.98,43.22,7.6,-0.55,1.01,0.59,2.87,0.58,14.88,0.13
INH1_2020,20201124,4.39,1.89,99.39,82.81,3.76,0.62,2.74,14.47,8.5,1.11,3.26,0.59,4.65,0.58,1.23,3.49
INH1_2020,20201125,7.2,8.58,98.27,95.81,3.45,0.67,1.98,11.0,13.15,6.1,8.83,0.6,9.07,0.59,1.17,13.13
INH1_2020,20201126,5.07,3.86,99.05,89.5,2.91,0.63,2.9,14.93,8.88,1.11,4.58,0.61,5.32,0.59,3.74,0.1
